isolate_ID	contigs	total_len	avg_len	N50_len	N90_len	GC	completeness	contamination	gtdb_classification
H103	 462 	5273336	11414.15	135152	41038	50.74	100	0.62	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
H118	 934 	5407833	5789.97	135152	36123	51.02	100	1.08	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
H121	 1,126 	5483928	4870.27	135152	30293	51.08	100	2.31	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
H133	 616 	5313776	8626.26	135152	37377	50.79	100	0.42	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
H148	 774 	5374805	6944.19	139909	37117	50.94	100	0.39	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
H151	 882 	5412184	6136.26	135152	36123	50.96	100	1.15	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
H156	 817 	5386651	6593.21	135152	36123	50.93	100	2.42	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
H164	 786 	5379751	6844.47	139909	37117	50.88	100	2.97	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
H20	 521 	5279907	10134.18	139909	40592	50.82	100	1.19	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
H54	 838 	5378007	6417.67	134510	31476	50.92	100	0.69	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
H65	 465 	5279223	11353.17	139910	40592	50.71	100	1.12	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
J136	 644 	4628291	7186.79	85543	19522	51.1	100	0.32	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
J1395	 347 	5315846	15319.44	178839	38340	50.69	100	0.34	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
J154	 670 	5057642	7548.72	113018	24286	50.67	100	0.24	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
J160	 516 	4758653	9222.2	100508	30981	50.87	100	1.06	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
J2-2	 2,966 	5809076	1958.56	25351	325	50.45	100	4.09	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
J4	 463 	5263533	11368.32	125989	35219	50.79	100	0.22	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
J455	 879 	5382459	6123.39	85972	13070	50.66	100	0.25	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
J621	 522 	5111105	9791.39	116436	27144	50.81	100	0.72	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
J625	 627 	5148926	8212	119485	27144	50.64	100	0.52	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
J630	 543 	5121721	9432.27	124437	28191	50.85	100	1.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
J648	 442 	4945052	11187.9	180526	45585	50.83	100	0.43	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
J658	 710 	5168750	7279.93	124437	27144	50.84	100	0.18	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
J685	 506 	5110246	10099.3	119821	28191	50.82	100	0.18	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
J770	 947 	5071682	5355.52	236144	63417	50.58	100	0.59	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
J917	 710 	5031129	7086.1	135274	38357	50.9	100	0.46	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
J2-1	 97 	4517104	46568.08	123338	36401	51.1	99.94	0.02	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
J1005	 555 	4848002	8735.14	423045	97508	50.5	100	0.81	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia marmotae
J352	 298 	5205070	17466.68	675431	123537	57.67	100	0.23	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae
R25	 921 	5507058	5979.43	268232	57726	57.51	100	1.48	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae
J1394	 291 	5489900	18865.63	2961100	94104	57.66	100	0.71	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella quasipneumoniae
R101	 1,237 	4125073	3334.74	2586148	38614	51.85	100	1.92	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Morganella;s__Morganella morganii
K148	 1,280 	4380856	3422.54	191180	7417	39.13	100	0.83	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Proteus;s__Proteus faecis
K178	 608 	4160606	6843.1	232139	31768	38.55	100	2.64	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Proteus;s__Proteus faecis
K183	 1,038 	4279139	4122.48	232139	18752	39.31	100	0.72	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Proteus;s__Proteus faecis
CH7	 309 	2279066	7375.62	218969	48614	41.27	100	0.06	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Pasteurellaceae;g__Actinobacillus_B;s__Actinobacillus_B aerogenes
K348	 354 	2297036	6488.8	236935	49636	41.18	100	0.11	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Pasteurellaceae;g__Actinobacillus_B;s__Actinobacillus_B aerogenes
K330	 307 	2339046	7619.04	404291	88603	42.76	99.99	0.03	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Pasteurellaceae;g__Frederiksenia;s__Frederiksenia canicola
CH37	 354 	4851612	13705.12	151110	34240	43.85	100	3.09	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Vibrionaceae;g__Vibrio;s__Vibrio kanaloae
CH33	 102 	6140505	60201.03	133382	34288	60.13	100	0.07	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E paracarnis
CH40	 64 	6256026	97750.41	235233	79008	60.05	100	0.02	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E paracarnis
CH20	 256 	5683554	22201.38	44282	12381	60.46	94.55	1.53	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E paracarnis
CH36	 226 	5342540	23639.56	49889	13077	60.56	91.76	0.06	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E paracarnis
J99	 1,122 	2955516	2634.15	303830	423	55.85	100	0.85	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila
